COURSE_ID,NAME,NUMBER,YARDS,HOLE_ID,TEE_LAT_LON,DL_LAT_LON,DL2_LAT_LON,GREEN_LAT_LON,GREEN_DEPTH,ZOOM
101,Competition Tees,1,567,1,"35.76007,-78.67804","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Black Tees,1,529,19,"35.75971,-78.67836","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Red Tees,1,498,37,"35.75945,-78.67839","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Wolfpack Tees,1,490,55,"35.75919,-78.67793","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Wolfpack/Gray Hybrid,1,441,73,"35.75897,-78.6784","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Gray Tees,1,441,91,"35.75897,-78.6784","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Gray/Green Hybrid,1,387,109,"35.75845,-78.67846","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Green Tees,1,387,127,"35.75845,-78.67846","35.757550,-78.678580","35.756450,-78.679230","35.755730,-78.680100",30.0,16
101,Competition Tees,2,227,2,"35.75703,-78.68149","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Black Tees,2,213,20,"35.75712,-78.68161","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Red Tees,2,203,38,"35.75727,-78.68155","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Wolfpack Tees,2,178,56,"35.75754,-78.68156","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Wolfpack/Gray Hybrid,2,178,74,"35.75754,-78.68156","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Gray Tees,2,163,92,"35.75768,-78.68154","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Gray/Green Hybrid,2,163,110,"35.75768,-78.68154","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Green Tees,2,140,128,"35.75785,-78.68154","35.75801,-78.681390",,"35.758780,-78.680680",56.0,18
101,Competition Tees,3,542,3,"35.7581,-78.68323","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Black Tees,3,517,21,"35.7581,-78.68368","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Red Tees,3,489,39,"35.75807,-78.68374","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Wolfpack Tees,3,458,57,"35.75807,-78.68409","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Wolfpack/Gray Hybrid,3,458,75,"35.75807,-78.68409","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Gray Tees,3,443,93,"35.75821,-78.68424","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Gray/Green Hybrid,3,443,111,"35.75821,-78.68424","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Green Tees,3,334,129,"35.75824,-78.68542","35.758060,-78.686110",,"35.756590,-78.687960",35.0,16
101,Competition Tees,4,357,4,"35.75615,-78.68867","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Black Tees,4,357,22,"35.75615,-78.68867","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Red Tees,4,334,40,"35.75621,-78.68839","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Wolfpack Tees,4,287,58,"35.75624,-78.6881","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Wolfpack/Gray Hybrid,4,287,76,"35.75624,-78.6881","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Gray Tees,4,252,94,"35.75626,-78.68785","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Gray/Green Hybrid,4,252,112,"35.75626,-78.68785","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Green Tees,4,233,130,"35.75625,-78.6875","35.756740,-78.686340",,"35.757150,-78.685210",41.0,17
101,Competition Tees,5,455,5,"35.75667,-78.68397","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Black Tees,5,451,23,"35.75643,-78.68385","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Red Tees,5,413,41,"35.75624,-78.68419","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Wolfpack Tees,5,391,59,"35.75624,-78.6842","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Wolfpack/Gray Hybrid,5,351,77,"35.75599,-78.68473","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Gray Tees,5,351,95,"35.75599,-78.68473","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Gray/Green Hybrid,5,271,113,"35.7556,-78.68545","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Green Tees,5,271,131,"35.7556,-78.68545","35.755530,-78.68669",,"35.75569,-78.688120",28.0,17
101,Competition Tees,6,153,6,"35.75616,-78.68864","35.755410,-78.688800",,"35.754950,-78.688740",30.0,18
101,Black Tees,6,150,24,"35.75615,-78.68865","35.755410,-78.688800",,"35.754950,-78.688740",30.0,18
101,Red Tees,6,140,42,"35.75609,-78.68871","35.755410,-78.688800",,"35.754950,-78.688740",30.0,18
101,Wolfpack Tees,6,136,60,"35.75603,-78.68874","35.755410,-78.688800",,"35.754950,-78.688740",30.0,18
